市区町村コード,市区町村名,値,調査年,出典
01516,北海道 豊富町,37,2020,国勢調査(2020)
01517,北海道 礼文町,12,2020,国勢調査(2020)
01518,北海道 利尻町,22,2020,国勢調査(2020)
01519,北海道 利尻富士町,36,2020,国勢調査(2020)
01520,北海道 幌延町,17,2020,国勢調査(2020)
01543,北海道 美幌町,296,2020,国勢調査(2020)
01544,北海道 津別町,57,2020,国勢調査(2020)
01545,北海道 斜里町,196,2020,国勢調査(2020)
01546,北海道 清里町,51,2020,国勢調査(2020)
01547,北海道 小清水町,55,2020,国勢調査(2020)
01549,北海道 訓子府町,51,2020,国勢調査(2020)
01550,北海道 置戸町,34,2020,国勢調査(2020)
01552,北海道 佐呂間町,73,2020,国勢調査(2020)
01555,北海道 遠軽町,292,2020,国勢調査(2020)
01559,北海道 湧別町,111,2020,国勢調査(2020)
01560,北海道 滝上町,23,2020,国勢調査(2020)
01561,北海道 興部町,46,2020,国勢調査(2020)
01562,北海道 西興部村,9,2020,国勢調査(2020)
01563,北海道 雄武町,56,2020,国勢調査(2020)
01564,北海道 大空町,67,2020,国勢調査(2020)
01571,北海道 豊浦町,63,2020,国勢調査(2020)
01575,北海道 壮瞥町,39,2020,国勢調査(2020)
01578,北海道 白老町,348,2020,国勢調査(2020)
01581,北海道 厚真町,75,2020,国勢調査(2020)
01584,北海道 洞爺湖町,145,2020,国勢調査(2020)
01585,北海道 安平町,132,2020,国勢調査(2020)
01586,北海道 むかわ町,133,2020,国勢調査(2020)
01601,北海道 日高町,206,2020,国勢調査(2020)
01602,北海道 平取町,64,2020,国勢調査(2020)
01604,北海道 新冠町,66,2020,国勢調査(2020)
01607,北海道 浦河町,231,2020,国勢調査(2020)
01608,北海道 様似町,107,2020,国勢調査(2020)
01609,北海道 えりも町,65,2020,国勢調査(2020)
01610,北海道 新ひだか町,537,2020,国勢調査(2020)
01631,北海道 音更町,781,2020,国勢調査(2020)
01632,北海道 士幌町,43,2020,国勢調査(2020)
01633,北海道 上士幌町,54,2020,国勢調査(2020)
01634,北海道 鹿追町,41,2020,国勢調査(2020)
01635,北海道 新得町,80,2020,国勢調査(2020)
01636,北海道 清水町,111,2020,国勢調査(2020)
01637,北海道 芽室町,191,2020,国勢調査(2020)
01638,北海道 中札内村,39,2020,国勢調査(2020)
01639,北海道 更別村,22,2020,国勢調査(2020)
01641,北海道 大樹町,41,2020,国勢調査(2020)
01642,北海道 広尾町,66,2020,国勢調査(2020)
01643,北海道 幕別町,365,2020,国勢調査(2020)
01644,北海道 池田町,96,2020,国勢調査(2020)
01645,北海道 豊頃町,33,2020,国勢調査(2020)
01646,北海道 本別町,115,2020,国勢調査(2020)
01647,北海道 足寄町,82,2020,国勢調査(2020)
01648,北海道 陸別町,22,2020,国勢調査(2020)
01649,北海道 浦幌町,45,2020,国勢調査(2020)
01661,北海道 釧路町,355,2020,国勢調査(2020)
01662,北海道 厚岸町,126,2020,国勢調査(2020)
01663,北海道 浜中町,35,2020,国勢調査(2020)
01664,北海道 標茶町,80,2020,国勢調査(2020)
01665,北海道 弟子屈町,107,2020,国勢調査(2020)
01667,北海道 鶴居村,13,2020,国勢調査(2020)
01668,北海道 白糠町,166,2020,国勢調査(2020)
01691,北海道 別海町,94,2020,国勢調査(2020)
01692,北海道 中標津町,468,2020,国勢調査(2020)
01693,北海道 標津町,58,2020,国勢調査(2020)
01694,北海道 羅臼町,46,2020,国勢調査(2020)
02201,青森県 青森市,6659,2020,国勢調査(2020)
02202,青森県 弘前市,3444,2020,国勢調査(2020)
02203,青森県 八戸市,5044,2020,国勢調査(2020)
02204,青森県 黒石市,862,2020,国勢調査(2020)
02205,青森県 五所川原市,1482,2020,国勢調査(2020)
02206,青森県 十和田市,1199,2020,国勢調査(2020)
02207,青森県 三沢市,985,2020,国勢調査(2020)
02208,青森県 むつ市,1186,2020,国勢調査(2020)
02209,青森県 つがる市,928,2020,国勢調査(2020)
02210,青森県 平川市,1047,2020,国勢調査(2020)
02301,青森県 平内町,180,2020,国勢調査(2020)
02303,青森県 今別町,89,2020,国勢調査(2020)
