市区町村コード,市区町村名,値,調査年,出典
07202,福島県 会津若松市,410,2024,社会・人口統計体系(2024)
07203,福島県 郡山市,1301,2024,社会・人口統計体系(2024)
07204,福島県 いわき市,1325,2024,社会・人口統計体系(2024)
07205,福島県 白河市,187,2024,社会・人口統計体系(2024)
07207,福島県 須賀川市,257,2024,社会・人口統計体系(2024)
07208,福島県 喜多方市,118,2024,社会・人口統計体系(2024)
07209,福島県 相馬市,119,2024,社会・人口統計体系(2024)
07210,福島県 二本松市,210,2024,社会・人口統計体系(2024)
07211,福島県 田村市,129,2024,社会・人口統計体系(2024)
07212,福島県 南相馬市,252,2024,社会・人口統計体系(2024)
07213,福島県 伊達市,212,2024,社会・人口統計体系(2024)
07214,福島県 本宮市,243,2024,社会・人口統計体系(2024)
08201,茨城県 水戸市,2233,2024,社会・人口統計体系(2024)
08202,茨城県 日立市,598,2024,社会・人口統計体系(2024)
08203,茨城県 土浦市,1059,2024,社会・人口統計体系(2024)
08204,茨城県 古河市,520,2024,社会・人口統計体系(2024)
08205,茨城県 石岡市,221,2024,社会・人口統計体系(2024)
08207,茨城県 結城市,187,2024,社会・人口統計体系(2024)
08208,茨城県 龍ケ崎市,194,2024,社会・人口統計体系(2024)
08210,茨城県 下妻市,208,2024,社会・人口統計体系(2024)
08211,茨城県 常総市,240,2024,社会・人口統計体系(2024)
08212,茨城県 常陸太田市,101,2024,社会・人口統計体系(2024)
08214,茨城県 高萩市,59,2024,社会・人口統計体系(2024)
08215,茨城県 北茨城市,102,2024,社会・人口統計体系(2024)
08216,茨城県 笠間市,239,2024,社会・人口統計体系(2024)
08217,茨城県 取手市,481,2024,社会・人口統計体系(2024)
08219,茨城県 牛久市,301,2024,社会・人口統計体系(2024)
08220,茨城県 つくば市,2591,2024,社会・人口統計体系(2024)
08221,茨城県 ひたちなか市,908,2024,社会・人口統計体系(2024)
08222,茨城県 鹿嶋市,376,2024,社会・人口統計体系(2024)
08223,茨城県 潮来市,113,2024,社会・人口統計体系(2024)
08224,茨城県 守谷市,359,2024,社会・人口統計体系(2024)
08225,茨城県 常陸大宮市,117,2024,社会・人口統計体系(2024)
08226,茨城県 那珂市,215,2024,社会・人口統計体系(2024)
08227,茨城県 筑西市,424,2024,社会・人口統計体系(2024)
08228,茨城県 坂東市,185,2024,社会・人口統計体系(2024)
08229,茨城県 稲敷市,55,2024,社会・人口統計体系(2024)
08230,茨城県 かすみがうら市,205,2024,社会・人口統計体系(2024)
08231,茨城県 桜川市,86,2024,社会・人口統計体系(2024)
08232,茨城県 神栖市,582,2024,社会・人口統計体系(2024)
08233,茨城県 行方市,80,2024,社会・人口統計体系(2024)
08234,茨城県 鉾田市,171,2024,社会・人口統計体系(2024)
08235,茨城県 つくばみらい市,377,2024,社会・人口統計体系(2024)
08236,茨城県 小美玉市,189,2024,社会・人口統計体系(2024)
09201,栃木県 宇都宮市,2944,2024,社会・人口統計体系(2024)
09202,栃木県 足利市,469,2024,社会・人口統計体系(2024)
09203,栃木県 栃木市,611,2024,社会・人口統計体系(2024)
09204,栃木県 佐野市,482,2024,社会・人口統計体系(2024)
09205,栃木県 鹿沼市,380,2024,社会・人口統計体系(2024)
09206,栃木県 日光市,372,2024,社会・人口統計体系(2024)
09208,栃木県 小山市,1055,2024,社会・人口統計体系(2024)
09209,栃木県 真岡市,378,2024,社会・人口統計体系(2024)
09210,栃木県 大田原市,268,2024,社会・人口統計体系(2024)
09211,栃木県 矢板市,74,2024,社会・人口統計体系(2024)
