市区町村コード,市区町村名,値,調査年,出典
01437,北海道 北竜町,223,2020,国勢調査(2020)
01438,北海道 沼田町,386,2020,国勢調査(2020)
01452,北海道 鷹栖町,623,2020,国勢調査(2020)
01453,北海道 東神楽町,798,2020,国勢調査(2020)
01454,北海道 当麻町,910,2020,国勢調査(2020)
01455,北海道 比布町,517,2020,国勢調査(2020)
01456,北海道 愛別町,434,2020,国勢調査(2020)
01457,北海道 上川町,978,2020,国勢調査(2020)
01458,北海道 東川町,1037,2020,国勢調査(2020)
01459,北海道 美瑛町,1370,2020,国勢調査(2020)
01460,北海道 上富良野町,1330,2020,国勢調査(2020)
01461,北海道 中富良野町,606,2020,国勢調査(2020)
01462,北海道 南富良野町,458,2020,国勢調査(2020)
01463,北海道 占冠村,563,2020,国勢調査(2020)
01464,北海道 和寒町,484,2020,国勢調査(2020)
01465,北海道 剣淵町,384,2020,国勢調査(2020)
01468,北海道 下川町,566,2020,国勢調査(2020)
01469,北海道 美深町,754,2020,国勢調査(2020)
01470,北海道 音威子府村,189,2020,国勢調査(2020)
01471,北海道 中川町,405,2020,国勢調査(2020)
01472,北海道 幌加内町,279,2020,国勢調査(2020)
01481,北海道 増毛町,714,2020,国勢調査(2020)
01482,北海道 小平町,553,2020,国勢調査(2020)
01483,北海道 苫前町,498,2020,国勢調査(2020)
01484,北海道 羽幌町,1239,2020,国勢調査(2020)
01485,北海道 初山別村,189,2020,国勢調査(2020)
01486,北海道 遠別町,472,2020,国勢調査(2020)
01487,北海道 天塩町,573,2020,国勢調査(2020)
01511,北海道 猿払村,554,2020,国勢調査(2020)
01512,北海道 浜頓別町,748,2020,国勢調査(2020)
01513,北海道 中頓別町,302,2020,国勢調査(2020)
01514,北海道 枝幸町,1314,2020,国勢調査(2020)
01516,北海道 豊富町,848,2020,国勢調査(2020)
01517,北海道 礼文町,537,2020,国勢調査(2020)
01518,北海道 利尻町,465,2020,国勢調査(2020)
01519,北海道 利尻富士町,505,2020,国勢調査(2020)
01520,北海道 幌延町,553,2020,国勢調査(2020)
01543,北海道 美幌町,2804,2020,国勢調査(2020)
01544,北海道 津別町,726,2020,国勢調査(2020)
01545,北海道 斜里町,2109,2020,国勢調査(2020)
01546,北海道 清里町,490,2020,国勢調査(2020)
01547,北海道 小清水町,658,2020,国勢調査(2020)
01549,北海道 訓子府町,505,2020,国勢調査(2020)
01550,北海道 置戸町,445,2020,国勢調査(2020)
01552,北海道 佐呂間町,861,2020,国勢調査(2020)
01555,北海道 遠軽町,3196,2020,国勢調査(2020)
01559,北海道 湧別町,1337,2020,国勢調査(2020)
01560,北海道 滝上町,513,2020,国勢調査(2020)
01561,北海道 興部町,671,2020,国勢調査(2020)
01562,北海道 西興部村,251,2020,国勢調査(2020)
01563,北海道 雄武町,910,2020,国勢調査(2020)
01564,北海道 大空町,834,2020,国勢調査(2020)
01571,北海道 豊浦町,781,2020,国勢調査(2020)
01575,北海道 壮瞥町,524,2020,国勢調査(2020)
01578,北海道 白老町,2912,2020,国勢調査(2020)
01581,北海道 厚真町,661,2020,国勢調査(2020)
01584,北海道 洞爺湖町,1713,2020,国勢調査(2020)
01585,北海道 安平町,1369,2020,国勢調査(2020)
01586,北海道 むかわ町,1486,2020,国勢調査(2020)
01601,北海道 日高町,2406,2020,国勢調査(2020)
01602,北海道 平取町,881,2020,国勢調査(2020)
01604,北海道 新冠町,982,2020,国勢調査(2020)
01607,北海道 浦河町,2653,2020,国勢調査(2020)
01608,北海道 様似町,677,2020,国勢調査(2020)
01609,北海道 えりも町,613,2020,国勢調査(2020)
01610,北海道 新ひだか町,4088,2020,国勢調査(2020)
01631,北海道 音更町,5565,2020,国勢調査(2020)
01632,北海道 士幌町,989,2020,国勢調査(2020)
01633,北海道 上士幌町,1070,2020,国勢調査(2020)
01634,北海道 鹿追町,820,2020,国勢調査(2020)
01635,北海道 新得町,1258,2020,国勢調査(2020)
01636,北海道 清水町,1609,2020,国勢調査(2020)
01637,北海道 芽室町,1963,2020,国勢調査(2020)
01638,北海道 中札内村,630,2020,国勢調査(2020)
01639,北海道 更別村,456,2020,国勢調査(2020)
01641,北海道 大樹町,1077,2020,国勢調査(2020)
01642,北海道 広尾町,1117,2020,国勢調査(2020)
01643,北海道 幕別町,3147,2020,国勢調査(2020)
01644,北海道 池田町,1068,2020,国勢調査(2020)
01645,北海道 豊頃町,467,2020,国勢調査(2020)
01646,北海道 本別町,1178,2020,国勢調査(2020)
01647,北海道 足寄町,1193,2020,国勢調査(2020)
01648,北海道 陸別町,459,2020,国勢調査(2020)
01649,北海道 浦幌町,701,2020,国勢調査(2020)
01661,北海道 釧路町,2527,2020,国勢調査(2020)
01662,北海道 厚岸町,1439,2020,国勢調査(2020)
01663,北海道 浜中町,805,2020,国勢調査(2020)
01664,北海道 標茶町,1179,2020,国勢調査(2020)
01665,北海道 弟子屈町,1362,2020,国勢調査(2020)
01667,北海道 鶴居村,389,2020,国勢調査(2020)
01668,北海道 白糠町,1232,2020,国勢調査(2020)
01691,北海道 別海町,2233,2020,国勢調査(2020)
01692,北海道 中標津町,3995,2020,国勢調査(2020)
01693,北海道 標津町,778,2020,国勢調査(2020)
01694,北海道 羅臼町,629,2020,国勢調査(2020)
02201,青森県 青森市,41179,2020,国勢調査(2020)
02202,青森県 弘前市,26170,2020,国勢調査(2020)
02203,青森県 八戸市,32229,2020,国勢調査(2020)
02204,青森県 黒石市,3092,2020,国勢調査(2020)
02205,青森県 五所川原市,6460,2020,国勢調査(2020)
02206,青森県 十和田市,9009,2020,国勢調査(2020)
02207,青森県 三沢市,6791,2020,国勢調査(2020)
02208,青森県 むつ市,8717,2020,国勢調査(2020)
02209,青森県 つがる市,2486,2020,国勢調査(2020)
02210,青森県 平川市,1943,2020,国勢調査(2020)
02301,青森県 平内町,1006,2020,国勢調査(2020)
02303,青森県 今別町,416,2020,国勢調査(2020)
02304,青森県 蓬田村,197,2020,国勢調査(2020)
02307,青森県 外ヶ浜町,799,2020,国勢調査(2020)
02321,青森県 鰺ヶ沢町,1088,2020,国勢調査(2020)
02323,青森県 深浦町,960,2020,国勢調査(2020)
02343,青森県 西目屋村,96,2020,国勢調査(2020)
02361,青森県 藤崎町,1014,2020,国勢調査(2020)
02362,青森県 大鰐町,840,2020,国勢調査(2020)
02367,青森県 田舎館村,461,2020,国勢調査(2020)
02381,青森県 板柳町,1016,2020,国勢調査(2020)
02384,青森県 鶴田町,996,2020,国勢調査(2020)
02387,青森県 中泊町,1074,2020,国勢調査(2020)
02401,青森県 野辺地町,1940,2020,国勢調査(2020)
02402,青森県 七戸町,1465,2020,国勢調査(2020)
02405,青森県 六戸町,850,2020,国勢調査(2020)
02406,青森県 横浜町,685,2020,国勢調査(2020)
02408,青森県 東北町,1505,2020,国勢調査(2020)
02411,青森県 六ヶ所村,2756,2020,国勢調査(2020)
02412,青森県 おいらせ町,2347,2020,国勢調査(2020)
02423,青森県 大間町,816,2020,国勢調査(2020)
02424,青森県 東通村,998,2020,国勢調査(2020)
02425,青森県 風間浦村,260,2020,国勢調査(2020)
02426,青森県 佐井村,321,2020,国勢調査(2020)
02441,青森県 三戸町,1013,2020,国勢調査(2020)
02442,青森県 五戸町,1492,2020,国勢調査(2020)
02443,青森県 田子町,527,2020,国勢調査(2020)
02445,青森県 南部町,1555,2020,国勢調査(2020)
02446,青森県 階上町,2158,2020,国勢調査(2020)
02450,青森県 新郷村,190,2020,国勢調査(2020)
03201,岩手県 盛岡市,52767,2020,国勢調査(2020)
03202,岩手県 宮古市,7447,2020,国勢調査(2020)
